start_node,end_node,length
676493836,3445785199,101.85480434873088
676493836,7655155711,71.69284591805805
676493836,4397144336,1336.2241481641327
676493846,4435775676,128.51225392443004
676493846,4321931732,84.9071404654306
676493846,6165220175,257.66814574231853
676493856,4435775676,114.9780328491304
676493856,6165220088,63.617676011060695
676493856,6165220165,109.48545682454926
676493857,6159631806,56.390973819949295
676493857,4321931703,108.57052173543707
676493857,6177731593,87.30863595433803
676493862,4397139817,354.17201351158457
676493862,6159632134,330.36595322432674
676493862,6159631788,67.04872800079083
676493900,7568228149,263.2549737735382
676493900,4370893159,382.4932757631525
676493900,6166714613,291.5272044081014
676493945,6159475821,9.876840702909838
676493945,6159603977,265.6531755601521
676493945,6159475846,405.26202548353797
676493957,4321931693,119.09206571153928
676493957,6159631806,241.61826652239728
676493957,6177731578,40.78125064471887
3445785199,4397144332,529.2440832779312
3445785199,676493836,101.85480434873088
3445785199,3448258887,220.21531993599663
3445785209,6159818453,102.05316484517489
3445785209,6165219308,68.42692386643421
3445785209,3448258887,133.0972540561454
3445785225,7655155717,48.03250916310699
3445785225,3445785275,955.8277654526197
3445785225,7655155723,106.66642702897627
3445785275,6167979162,97.44365315601809
3445785275,3445785280,121.37691856259289
3445785275,3445785225,955.8277654526198
3445785280,3445785285,154.9482493029235
3445785280,3445785275,121.37691856259289
3445785280,7565007415,456.4823511945873
3445785285,6167979147,104.42908269215684
3445785285,3445785280,154.94824930292347
3445785285,7565007405,457.30699901159835
3445785289,6167979147,28.47916452604286
3445785289,3445785307,379.3214569366551
3445785289,3448258990,565.7965622127456
3445785307,3445785308,11.09951522794801
3445785307,3445785289,379.32145693665507
3445785307,7709372728,189.01253038511754
3445785308,3445785307,11.09951522794801
3445785308,6167979090,802.3451054429329
3445785308,3445785315,140.33801536579094
3445785315,3445785308,140.33801536579094
3448258887,6159432896,1971.0225953368638
3448258887,3445785209,133.0972540561454
3448258887,3445785199,220.2153199359966
3448258990,6159432896,32.98123531957047
3448258990,4321931734,2119.8933943593624
3448258990,3445785289,565.7965622127457
4070940437,7710481266,88.98771949725062
4070940437,7710481263,89.18517107815474
4070940437,7590221552,457.37201370344474
4321931522,4321931690,17.18413563896431
4321931532,4321931728,70.08294429536632
4321931532,4321931568,61.65091363452898
4321931532,4321931571,263.88965864102374
4321931533,4321931741,96.41486128357887
4321931533,4321931743,33.89102400844385
4321931533,6163848178,74.80979990771831
