node_id,latitude,longitude
676493836,-5.559257,105.3757457
676493846,-5.5512646,105.3693908
676493856,-5.5532919,105.3702193
676493857,-5.5386944,105.3638776
676493862,-5.5470097,105.3685347
676493900,-5.5399749,105.4125864
676493945,-5.5279346,105.3558103
676493957,-5.5366067,105.3621931
3445785199,-5.5601276,105.37602
3445785209,-5.5628709,105.3774725
3445785225,-5.5662522,105.3794955
3445785275,-5.5732621,105.3838273
3445785280,-5.5742654,105.383909
3445785285,-5.5756042,105.3842304
3445785289,-5.5767603,105.3845274
3445785307,-5.5799622,105.385685
3445785308,-5.5800566,105.3857176
3445785315,-5.5806647,105.3867513
3448258887,-5.5619093,105.3767744
3448258990,-5.5775912,105.3796332
4070940437,-5.458912,105.3858805
4321931522,-5.5431595,105.366872
4321931532,-5.6096651,105.4034758
4321931533,-5.5426306,105.3689424
4321931536,-5.5412315,105.3652693
4321931537,-5.540268,105.3666545
4321931538,-5.617473,105.4252043
4321931542,-5.543515,105.3673145
4321931546,-5.5437604,105.3674565
4321931551,-5.6083091,105.4059542
4321931557,-5.5422642,105.3658039
4321931561,-5.5409073,105.3672036
4321931566,-5.5416215,105.367553
4321931568,-5.6094142,105.4039726
4321931570,-5.6181376,105.4247846
4321931571,-5.6076844,105.4021777
4321931580,-5.5379787,105.3655419
4321931583,-5.5405035,105.3648945
4321931690,-5.5430681,105.3669972
4321931691,-5.5432825,105.3671621
4321931693,-5.535688,105.36164
4321931696,-5.5438329,105.3666213
4321931701,-5.5439229,105.3666713
4321931703,-5.5395226,105.3643955
4321931705,-5.6251045,105.4196764
4321931707,-5.61983,105.4306976
4321931712,-5.6192164,105.4299252
4321931724,-5.5422391,105.3688393
4321931728,-5.6099694,105.4029212
4321931729,-5.5426573,105.3666947
4321931731,-5.5418858,105.3693581
4321931732,-5.5505273,105.3691945
4321931734,-5.5926156,105.389038
4321931735,-5.6055035,105.3986103
4321931740,-5.5433808,105.36703
4321931741,-5.543179,105.3682677
4321931743,-5.5423304,105.3688954
4370643117,-5.5560614,105.3941235
4370881783,-5.5399774,105.4213169
